,4,5,Ave,BBI,Ct,Econ,Inns,Mat,Mdns,Overs,Player,Runs,SR,St,Wkts,team,year
2,0,0,44.55,2/19,2.0,7.78,16,16.0,2,51.3,P Kumar,401,34.3,0.0,9,GL,2016
3,0,0,0.0,0.0,7.0,8.20,4,15.0,0,10.0,SK Raina,82,0.0,0.0,0,GL,2016
4,0,0,32.00,3/20,0.0,8.34,7,7.0,0,23.0,S Kaushik,192,23.0,0.0,6,GL,2016
5,1,0,19.12,4/8,7.0,8.50,8,12.0,0,18.0,DR Smith,153,13.5,0.0,8,GL,2016
6,0,0,0.0,0.0,0.0,8.50,1,1.0,0,2.0,DW Steyn,17,0.0,0.0,0,GL,2016
7,1,0,29.05,4/22,6.0,8.82,15,15.0,0,56.0,DJ Bravo,494,19.7,0.0,17,GL,2016
8,0,0,89.00,1/13,4.0,8.90,6,6.0,0,20.0,SB Jakati,178,60.0,0.0,2,GL,2016
9,0,0,28.60,2/12,1.0,8.93,7,7.0,0,16.0,PV Tambe,143,19.2,0.0,5,GL,2016
10,0,0,83.50,1/23,3.0,9.82,7,7.0,0,17.0,JP Faulkner,167,51.0,0.0,2,GL,2016
11,0,0,0.0,0.0,0.0,10.50,1,1.0,0,2.0,S Ladda,21,0.0,0.0,0,GL,2016
12,0,0,0.0,0.0,1.0,12.25,2,2.0,0,4.0,PJ Sangwan,49,0.0,0.0,0,GL,2016
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,AD Nath,0.0,0.0,0.0,0.0,GL,2016
14,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,ER Dwivedi,0.0,0.0,0.0,0.0,GL,2016
15,0.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,0.0,0.0,AJ Finch,0.0,0.0,0.0,0.0,GL,2016
16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,Ishan Kishan,0.0,0.0,0.0,0.0,GL,2016
17,0.0,0.0,0.0,0.0,11.0,0.0,0.0,16.0,0.0,0.0,KD Karthik,0.0,0.0,3.0,0.0,GL,2016
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,BB McCullum,0.0,0.0,0.0,0.0,GL,2016
0,1.0,0.0,19.40,4/20,,7.97,12.0,12.0,0.0,36.3,AD Russell,291.0,14.6,,15.0,KKR,2016
1,0.0,0.0,24.81,2/21,,7.72,11.0,12.0,0.0,35.2,PP Chawla,273.0,19.2,,11.0,KKR,2016
2,0.0,0.0,27.63,3/26,,7.12,11.0,11.0,0.0,42.4,SP Narine,304.0,23.2,,11.0,KKR,2016
3,0.0,0.0,23.40,3/28,,9.0,9.0,9.0,0.0,26.0,UT Yadav,234.0,15.6,,10.0,KKR,2016
4,0.0,0.0,29.70,2/27,,8.36,10.0,10.0,0.0,35.3,M Morkel,297.0,21.3,,10.0,KKR,2016
5,0.0,0.0,16.66,3/35,,8.33,3.0,3.0,0.0,12.0,Kuldeep Yadav,100.0,12.0,,6.0,KKR,2016
6,0.0,0.0,48.60,1/14,,7.83,9.0,10.0,0.0,31.0,Shakib Al Hasan,243.0,37.2,,5.0,KKR,2016
7,0.0,0.0,35.50,3/19,,8.87,5.0,5.0,1.0,16.0,GB Hogg,142.0,24.0,,4.0,KKR,2016
8,0.0,0.0,32.66,1/14,,8.9,4.0,4.0,0.0,11.0,AS Rajpoot,98.0,22.0,,3.0,KKR,2016
9,0.0,0.0,18.50,2/6,,5.55,2.0,2.0,1.0,6.4,JW Hastings,37.0,20.0,,2.0,KKR,2016
10,0.0,0.0,51.50,2/33,,7.92,4.0,4.0,0.0,13.0,JO Holder,103.0,39.0,,2.0,KKR,2016
11,0.0,0.0,33.00,1/6,,5.5,4.0,15.0,0.0,6.0,YK Pathan,33.0,36.0,,1.0,KKR,2016
12,0.0,0.0,59.00,1/20,,9.83,3.0,4.0,0.0,6.0,R Sathish,59.0,36.0,,1.0,KKR,2016
13,0.0,0.0,0.0,0.0,,7.5,2.0,4.0,0.0,2.0,C Munro,15.0,0.0,,0.0,KKR,2016
14,0.0,0.0,0.0,0.0,,16.33,1.0,1.0,0.0,3.0,JD Unadkat,49.0,0.0,,0.0,KKR,2016
15,,,,,,,,,,,Records includes the following current or recent matches:,,,,,KKR,2016
16,,,,,,,,,,,"Sunrisers Hyderabad v Kolkata Knight Riders at Delhi, Indian Premier League elimination final, May 25, 2016
[Twenty20]",,,,,KKR,2016
17,,,,,,,,,,,"Kolkata Knight Riders v Sunrisers Hyderabad at Kolkata, Indian Premier League 55th match, May 22, 2016
[Twenty20]",,,,,KKR,2016
18,,,,,,,,,,,"Gujarat Lions v Kolkata Knight Riders at Kanpur, Indian Premier League 51st match, May 19, 2016
[Twenty20]",,,,,KKR,2016
0,0,0,0.0,0.0,0.0,7.16,2,2.0,0,6.0,Anureet Singh,43,0.0,0.0,0,KP,2016
1,0,0,24.40,2/11,2.0,7.32,14,14.0,1,50.0,Sandeep Sharma,366,20.0,0.0,15,KP,2016
2,0,0,15.50,2/15,5.0,7.75,3,7.0,0,4.0,Gurkeerat Singh,31,12.0,0.0,2,KP,2016
3,0,0,28.00,1/21,0.0,8.00,2,2.0,0,7.0,R Dhawan,56,21.0,0.0,2,KP,2016
4,0,0,0.0,0.0,2.0,8.00,1,14.0,0,1.0,M Vijay,8,0.0,0.0,0,KP,2016
5,1,0,29.84,4/21,2.0,8.11,14,14.0,0,47.5,AR Patel,388,22.0,0.0,13,KP,2016
6,0,0,48.66,2/18,0.0,8.34,5,5.0,0,17.3,P Sahu,146,35.0,0.0,3,KP,2016
7,0,0,31.30,3/23,3.0,8.39,14,14.0,0,48.3,MM Sharma,407,22.3,0.0,13,KP,2016
8,1,0,24.25,4/15,0.0,8.43,7,7.0,0,23.0,MP Stoinis,194,17.2,0.0,8,KP,2016
9,0,0,0.0,0.0,3.0,8.88,7,11.0,0,9.0,GJ Maxwell,80,0.0,0.0,0,KP,2016
10,0,0,53.00,2/16,2.0,9.35,5,5.0,0,17.0,KC Cariappa,159,34.0,0.0,3,KP,2016
11,0,0,53.00,1/35,1.0,9.63,3,3.0,0,11.0,MG Johnson,106,33.0,0.0,2,KP,2016
12,0,0,0.0,0.0,0.0,9.66,1,1.0,0,3.0,Swapnil Singh,29,0.0,0.0,0,KP,2016
13,0,0,88.50,1/38,0.0,11.06,5,5.0,0,16.0,KJ Abbott,177,48.0,0.0,2,KP,2016
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,HM Amla,0.0,0.0,0.0,0.0,KP,2016
15,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,F Behardien,0.0,0.0,0.0,0.0,KP,2016
16,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,SE Marsh,0.0,0.0,0.0,0.0,KP,2016
17,0.0,0.0,0.0,0.0,10.0,0.0,0.0,14.0,0.0,0.0,DA Miller,0.0,0.0,0.0,0.0,KP,2016
18,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,NS Naik,0.0,0.0,0.0,0.0,KP,2016
19,0.0,0.0,0.0,0.0,7.0,0.0,0.0,12.0,0.0,0.0,WP Saha,0.0,0.0,3.0,0.0,KP,2016
20,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,M Vohra,0.0,0.0,0.0,0.0,KP,2016
0,0,0,0.0,0.0,0.0,3.00,1,4.0,0,1.0,N Rana,3,0.0,0.0,0,MI,2016
1,0,0,0.0,0.0,0.0,6.00,1,1.0,0,3.0,S Gopal,18,0.0,0.0,0,MI,2016
2,0,0,21.33,2/17,0.0,7.11,3,3.0,1,9.0,R Vinay Kumar,64,18.0,0.0,3,MI,2016
3,0,0,39.33,2/15,2.0,7.57,11,12.0,0,31.1,KH Pandya,236,31.1,0.0,6,MI,2016
4,0,0,36.55,3/24,4.0,7.65,11,11.0,0,43.0,TG Southee,329,28.6,0.0,9,MI,2016
5,0,0,27.06,3/13,1.0,7.80,14,14.0,0,52.0,JJ Bumrah,406,20.8,0.0,15,MI,2016
6,0,0,43.55,2/29,4.0,8.00,14,14.0,0,49.0,Harbhajan Singh,392,32.6,0.0,9,MI,2016
7,1,0,25.64,4/21,0.0,8.17,14,14.0,0,53.2,MJ McClenaghan,436,18.8,0.0,17,MI,2016
8,0,0,51.00,1/7,6.0,9.18,10,11.0,0,16.4,HH Pandya,153,33.3,0.0,3,MI,2016
9,0,0,0.0,0.0,5.0,13.50,4,13.0,0,6.0,KA Pollard,81,0.0,0.0,0,MI,2016
10,0,0,0.0,0.0,0.0,15.50,1,1.0,0,2.0,J Suchith,31,0.0,0.0,0,MI,2016
11,0.0,0.0,0.0,0.0,7.0,0.0,0.0,14.0,0.0,0.0,JC Buttler,0.0,0.0,0.0,0.0,MI,2016
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,UBT Chand,0.0,0.0,0.0,0.0,MI,2016
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,MJ Guptill,0.0,0.0,0.0,0.0,MI,2016
14,0.0,0.0,0.0,0.0,9.0,0.0,0.0,10.0,0.0,0.0,PA Patel,0.0,0.0,1.0,0.0,MI,2016
15,0.0,0.0,0.0,0.0,4.0,0.0,0.0,13.0,0.0,0.0,AT Rayudu,0.0,0.0,0.0,0.0,MI,2016
16,0.0,0.0,0.0,0.0,2.0,0.0,0.0,14.0,0.0,0.0,RG Sharma,0.0,0.0,0.0,0.0,MI,2016
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,LMP Simmons,0.0,0.0,0.0,0.0,MI,2016
0,0,0,4.00,2/4,1.0,4.80,2,11.0,0,1.4,Sachin Baby,8,5.0,0.0,2,RCB,2016
1,0,0,31.50,2/11,4.0,6.30,4,10.0,0,10.0,CH Gayle,63,30.0,0.0,2,RCB,2016
2,0,0,19.63,2/18,3.0,7.40,9,9.0,0,29.1,S Aravind,216,15.9,0.0,11,RCB,2016
3,0,0,134.00,1/17,3.0,7.88,11,14.0,0,17.0,STR Binny,134,102.0,0.0,1,RCB,2016
4,1,0,19.09,4/25,4.0,8.15,13,13.0,0,49.1,YS Chahal,401,14.0,0.0,21,RCB,2016
5,0,0,35.50,3/40,4.0,8.52,8,8.0,0,25.0,Iqbal Abdulla,213,25.0,0.0,6,RCB,2016
6,1,0,24.25,4/29,6.0,8.58,16,16.0,0,56.3,SR Watson,485,16.9,0.0,20,RCB,2016
7,0,0,49.00,1/21,1.0,9.18,4,4.0,0,16.0,T Shamsi,147,32.0,0.0,3,RCB,2016
8,1,0,23.45,4/11,4.0,9.21,9,9.0,0,28.0,CJ Jordan,258,15.2,0.0,11,RCB,2016
9,0,0,129.00,1/31,2.0,9.21,4,4.0,0,14.0,Parvez Rasool,129,84.0,0.0,1,RCB,2016
10,0,0,113.50,2/37,0.0,9.59,8,8.0,0,23.4,VR Aaron,227,71.0,0.0,2,RCB,2016
11,0,0,19.42,3/13,2.0,9.71,4,4.0,0,14.0,KW Richardson,136,12.0,0.0,7,RCB,2016
12,0,0,147.00,1/46,2.0,10.50,5,5.0,0,14.0,HV Patel,147,84.0,0.0,1,RCB,2016
13,0,0,43.00,1/43,1.0,10.75,1,1.0,0,4.0,AF Milne,43,24.0,0.0,1,RCB,2016
14,0,0,0.0,0.0,1.0,12.25,1,1.0,0,4.0,D Wiese,49,0.0,0.0,0,RCB,2016
15,0,0,0.0,0.0,6.0,13.00,1,16.0,0,1.0,V Kohli,13,0.0,0.0,0,RCB,2016
