,wickets,Total,batting_team,venue,match_winner,wickets_6overs,runs_6overs,toss,year,winner
39,7,194,Rajasthan Royals,Brabourne Stadium,Sunrisers Hyderabad,2,37.0,1,2015,
40,4,159,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,0,61.0,0,2015,1.0
41,9,184,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,1,58.0,0,2015,1.0
42,4,157,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Sunrisers Hyderabad,1,49.0,0,2015,
43,7,196,Mumbai Indians,Wankhede Stadium,Royal Challengers Bangalore,1,46.0,0,2015,
44,9,145,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,1,41.0,0,2015,
45,7,180,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,1,47.0,0,2015,
46,4,120,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,2,32.0,0,2015,1.0
47,6,84,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,2,62.0,1,2015,
48,7,166,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,2,51.0,1,2015,
49,4,83,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,4,83.0,0,2015,1.0
50,3,134,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,2,49.0,0,2015,1.0
51,9,190,Kolkata Knight Riders,Brabourne Stadium,Rajasthan Royals,2,54.0,0,2015,
52,0,2,Royal Challengers Bangalore,M Chinnaswamy Stadium,NA,0,,1,2015,
53,1,114,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,0,38.0,0,2015,1.0
54,10,162,Chennai Super Kings,Wankhede Stadium,Mumbai Indians,2,55.0,0,2015,
55,10,109,Rajasthan Royals,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,2,42.0,0,2015,
56,7,140,Chennai Super Kings,JSCA International Stadium Complex,Chennai Super Kings,1,35.0,1,2015,1.0
57,8,161,Chennai Super Kings,Eden Gardens,Mumbai Indians,1,35.0,1,2015,
0,1,126,Rising Pune Supergiants,Wankhede Stadium,Rising Pune Supergiants,0,57.0,0,2016,1.0
1,1,99,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,0,47.0,1,2016,1.0
2,5,162,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,2,57.0,1,2016,1.0
3,6,182,Sunrisers Hyderabad,M Chinnaswamy Stadium,Royal Challengers Bangalore,1,56.0,1,2016,
4,4,188,Mumbai Indians,Eden Gardens,Mumbai Indians,1,54.0,1,2016,1.0
5,3,164,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,0,63.0,0,2016,1.0
6,2,113,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,1,29.0,1,2016,1.0
7,2,146,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,0,37.0,0,2016,1.0
8,7,147,Gujarat Lions,Wankhede Stadium,Gujarat Lions,1,42.0,1,2016,1.0
9,4,153,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,0,51.0,0,2016,1.0
10,3,192,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils,2,55.0,1,2016,1.0
11,3,145,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,1,34.0,1,2016,1.0
12,4,141,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders,0,66.0,1,2016,1.0
13,4,171,Mumbai Indians,Wankhede Stadium,Mumbai Indians,1,52.0,1,2016,1.0
14,0,137,Sunrisers Hyderabad,Saurashtra Cricket Association Stadium,Sunrisers Hyderabad,0,65.0,1,2016,1.0
15,9,172,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,3,37.0,1,2016,
16,7,154,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,1,53.0,1,2016,
17,5,146,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,0,66.0,1,2016,1.0
18,4,182,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,1,73.0,0,2016,1.0
19,8,162,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,2,60.0,1,2016,1.0
20,7,164,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians,2,40.0,1,2016,
21,3,94,Rising Pune Supergiants,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiants,1,47.0,1,2016,1.0
22,5,171,Delhi Daredevils,Feroz Shah Kotla,Gujarat Lions,3,23.0,1,2016,
23,4,178,Mumbai Indians,Wankhede Stadium,Mumbai Indians,1,65.0,1,2016,1.0
24,7,196,Gujarat Lions,Maharashtra Cricket Association Stadium,Gujarat Lions,0,78.0,1,2016,1.0
25,10,159,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,2,44.0,1,2016,
26,6,179,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,1,47.0,1,2016,
27,9,131,Gujarat Lions,Saurashtra Cricket Association Stadium,Kings XI Punjab,2,37.0,1,2016,
28,2,161,Mumbai Indians,Maharashtra Cricket Association Stadium,Mumbai Indians,1,48.0,1,2016,1.0
29,5,189,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,2,38.0,1,2016,1.0
30,2,150,Delhi Daredevils,Saurashtra Cricket Association Stadium,Delhi Daredevils,0,61.0,1,2016,1.0
31,9,157,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,3,37.0,1,2016,
32,3,166,Rising Pune Supergiants,Feroz Shah Kotla,Rising Pune Supergiants,0,51.0,1,2016,1.0
33,5,129,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,2,39.0,1,2016,1.0
34,3,195,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,0,47.0,1,2016,1.0
35,5,172,Delhi Daredevils,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,0,52.0,1,2016,
36,10,92,Mumbai Indians,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,5,33.0,1,2016,
37,5,164,Gujarat Lions,Eden Gardens,Gujarat Lions,1,50.0,1,2016,1.0
38,4,174,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Royal Challengers Bangalore,1,54.0,1,2016,
39,8,133,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Sunrisers Hyderabad,2,25.0,0,2016,
40,4,153,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,1,40.0,1,2016,1.0
41,3,150,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,1,51.0,1,2016,1.0
42,3,127,Kings XI Punjab,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kings XI Punjab,1,34.0,0,2016,1.0
43,10,104,Gujarat Lions,M Chinnaswamy Stadium,Royal Challengers Bangalore,2,42.0,1,2016,
44,2,66,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,2,,0,2016,1.0
45,3,180,Sunrisers Hyderabad,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,0,57.0,0,2016,1.0
46,10,126,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Mumbai Indians,2,50.0,1,2016,
47,1,186,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,0,64.0,1,2016,1.0
48,1,76,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants,1,44.0,1,2016,1.0
49,9,120,Kings XI Punjab,M Chinnaswamy Stadium,Royal Challengers Bangalore,4,65.0,1,2016,
50,4,125,Gujarat Lions,Green Park,Gujarat Lions,3,56.0,1,2016,1.0
51,4,161,Delhi Daredevils,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,1,39.0,1,2016,1.0
52,6,173,Rising Pune Supergiants,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rising Pune Supergiants,1,45.0,0,2016,1.0
53,4,173,Gujarat Lions,Green Park,Gujarat Lions,1,74.0,1,2016,1.0
54,8,149,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders,1,48.0,1,2016,
55,4,139,Royal Challengers Bangalore,Shaheed Veer Narayan Singh International Stadium,Royal Challengers Bangalore,2,50.0,1,2016,1.0
56,6,159,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,5,32.0,1,2016,1.0
57,8,140,Kolkata Knight Riders,Feroz Shah Kotla,Sunrisers Hyderabad,1,47.0,1,2016,
58,6,163,Sunrisers Hyderabad,Feroz Shah Kotla,Sunrisers Hyderabad,2,47.0,1,2016,1.0
59,7,200,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunrisers Hyderabad,0,65.0,0,2016,
0,10,172,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,1,54.0,1,2017,
1,3,187,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,1,60.0,1,2017,1.0
2,0,184,Kolkata Knight Riders,Saurashtra Cricket Association Stadium,Kolkata Knight Riders,0,79.0,1,2017,1.0
3,4,164,Kings XI Punjab,Holkar Cricket Stadium,Kings XI Punjab,2,57.0,1,2017,1.0
4,9,142,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,2,44.0,0,2017,
5,1,140,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,1,59.0,1,2017,1.0
6,6,180,Mumbai Indians,Wankhede Stadium,Mumbai Indians,0,51.0,1,2017,1.0
7,2,150,Kings XI Punjab,Holkar Cricket Stadium,Kings XI Punjab,1,64.0,0,2017,1.0
8,10,108,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Delhi Daredevils,3,50.0,1,2017,
9,6,159,Mumbai Indians,Wankhede Stadium,Mumbai Indians,2,61.0,1,2017,1.0
10,2,171,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,1,80.0,1,2017,1.0
11,6,145,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,4,27.0,1,2017,1.0
12,3,172,Gujarat Lions,Saurashtra Cricket Association Stadium,Gujarat Lions,0,63.0,1,2017,1.0
13,6,155,Sunrisers Hyderabad,Eden Gardens,Kolkata Knight Riders,0,45.0,1,2017,
14,9,137,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,3,41.0,0,2017,
15,4,177,Mumbai Indians,Wankhede Stadium,Mumbai Indians,1,57.0,1,2017,1.0
16,9,134,Royal Challengers Bangalore,M Chinnaswamy Stadium,Rising Pune Supergiant,2,44.0,1,2017,
17,6,169,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders,3,50.0,0,2017,1.0
18,10,154,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,2,52.0,1,2017,
19,7,192,Gujarat Lions,Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,2,58.0,1,2017,
20,5,176,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,1,58.0,0,2017,
21,2,199,Mumbai Indians,Holkar Cricket Stadium,Mumbai Indians,1,83.0,1,2017,1.0
22,6,188,Gujarat Lions,Eden Gardens,Gujarat Lions,1,73.0,1,2017,1.0
23,7,128,Delhi Daredevils,Wankhede Stadium,Mumbai Indians,5,24.0,1,2017,
24,4,179,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,1,56.0,1,2017,1.0
25,7,162,Gujarat Lions,Saurashtra Cricket Association Stadium,Kings XI Punjab,2,51.0,1,2017,
26,10,49,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,4,39.0,1,2017,
27,8,157,Mumbai Indians,Wankhede Stadium,Rising Pune Supergiant,1,44.0,1,2017,
28,3,184,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,1,46.0,1,2017,1.0
29,3,135,Gujarat Lions,M Chinnaswamy Stadium,Gujarat Lions,2,49.0,1,2017,1.0
30,3,161,Kolkata Knight Riders,Eden Gardens,Kolkata Knight Riders,2,51.0,1,2017,1.0
31,9,181,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,3,63.0,1,2017,
32,9,96,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,2,39.0,1,2017,
33,10,153,Mumbai Indians,Saurashtra Cricket Association Stadium,NA,1,63.0,0,2017,
34,0,68,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,0,56.0,1,2017,1.0
35,7,161,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,2,50.0,1,2017,
36,6,165,Mumbai Indians,Wankhede Stadium,Mumbai Indians,1,55.0,0,2017,1.0
37,5,167,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,4,45.0,1,2017,1.0
38,4,189,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,1,66.0,1,2017,1.0
39,6,158,Rising Pune Supergiant,Eden Gardens,Rising Pune Supergiant,2,74.0,1,2017,1.0
40,3,214,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,1,64.0,1,2017,1.0
41,10,119,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kings XI Punjab,3,46.0,1,2017,
42,9,136,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiant,2,47.0,1,2017,
43,10,66,Delhi Daredevils,Feroz Shah Kotla,Mumbai Indians,5,35.0,1,2017,
44,4,159,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,0,105.0,1,2017,1.0
45,4,192,Gujarat Lions,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,0,59.0,1,2017,1.0
46,3,140,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,0,43.0,0,2017,1.0
47,6,153,Kolkata Knight Riders,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,1,62.0,1,2017,
48,8,197,Delhi Daredevils,Green Park,Delhi Daredevils,2,64.0,1,2017,1.0
49,6,223,Mumbai Indians,Wankhede Stadium,Kings XI Punjab,0,68.0,1,2017,
50,7,161,Rising Pune Supergiant,Feroz Shah Kotla,Delhi Daredevils,2,54.0,0,2017,
51,2,158,Sunrisers Hyderabad,Green Park,Sunrisers Hyderabad,2,48.0,1,2017,1.0
52,8,164,Kolkata Knight Riders,Eden Gardens,Mumbai Indians,3,53.0,1,2017,
53,1,78,Rising Pune Supergiant,Maharashtra Cricket Association Stadium,Rising Pune Supergiant,1,45.0,1,2017,1.0
54,10,151,Delhi Daredevils,Feroz Shah Kotla,Royal Challengers Bangalore,2,42.0,0,2017,
55,9,142,Mumbai Indians,Wankhede Stadium,Rising Pune Supergiant,3,42.0,1,2017,
56,3,48,Kolkata Knight Riders,M Chinnaswamy Stadium,Kolkata Knight Riders,3,48.0,1,2017,1.0
57,4,111,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,3,38.0,1,2017,1.0
58,6,128,Rising Pune Supergiant,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,1,40.0,0,2017,
