,wickets,Total,batting_team,venue,match_winner,wickets_6overs,runs_6overs,toss,year,winner
44,5,157,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,2,36,1,2015,1
45,5,185,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,0,56,1,2015,1
46,6,119,Chennai Super Kings,Shaheed Veer Narayan Singh International Stadium,Delhi Daredevils,1,16,1,2015,0
47,6,106,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,4,76,0,2015,1
48,4,171,Mumbai Indians,Wankhede Stadium,Mumbai Indians,2,47,0,2015,1
49,3,135,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,1,72,1,2015,0
50,7,130,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,3,41,1,2015,0
51,6,199,Rajasthan Royals,Brabourne Stadium,Rajasthan Royals,0,66,1,2015,1
52,5,187,Delhi Daredevils,M Chinnaswamy Stadium,NA,0,55,0,2015,0
53,10,113,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,3,30,1,2015,0
54,6,187,Mumbai Indians,Wankhede Stadium,Mumbai Indians,0,49,1,2015,1
55,4,180,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,1,41,1,2015,1
56,8,139,Royal Challengers Bangalore,JSCA International Stadium Complex,Chennai Super Kings,2,29,0,2015,0
57,5,202,Mumbai Indians,Eden Gardens,Mumbai Indians,1,62,0,2015,1
0,8,121,Mumbai Indians,Wankhede Stadium,Rising Pune Supergiants,4,38,1,2016,0
1,10,98,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,4,39,0,2016,0
2,6,161,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,0,53,0,2016,0
3,4,227,Royal Challengers Bangalore,M Chinnaswamy Stadium,Royal Challengers Bangalore,1,51,0,2016,1
4,5,187,Kolkata Knight Riders,Eden Gardens,Mumbai Indians,1,41,0,2016,0
5,5,163,Rising Pune Supergiants,Saurashtra Cricket Association Stadium,Gujarat Lions,1,58,1,2016,0
6,9,111,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,1,37,0,2016,0
7,7,142,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,3,36,1,2016,0
8,8,143,Mumbai Indians,Wankhede Stadium,Gujarat Lions,2,31,0,2016,0
9,7,152,Rising Pune Supergiants,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kings XI Punjab,1,49,1,2016,0
10,5,191,Royal Challengers Bangalore,M Chinnaswamy Stadium,Delhi Daredevils,1,64,0,2016,0
11,6,142,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,2,40,0,2016,0
12,8,138,Kings XI Punjab,"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders,1,41,0,2016,0
13,7,170,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,1,49,0,2016,0
14,8,135,Gujarat Lions,Saurashtra Cricket Association Stadium,Sunrisers Hyderabad,1,51,0,2016,0
15,3,185,Royal Challengers Bangalore,Maharashtra Cricket Association Stadium,Royal Challengers Bangalore,2,49,0,2016,1
16,4,164,Delhi Daredevils,Feroz Shah Kotla,Delhi Daredevils,1,42,0,2016,1
17,6,143,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Sunrisers Hyderabad,2,36,0,2016,0
18,2,180,Royal Challengers Bangalore,Saurashtra Cricket Association Stadium,Gujarat Lions,1,51,1,2016,0
19,5,160,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,1,33,0,2016,0
20,6,189,Mumbai Indians,"Punjab Cricket Association IS Bindra Stadium, Mohali",Mumbai Indians,1,40,0,2016,1
21,8,118,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Rising Pune Supergiants,3,28,0,2016,0
22,6,172,Gujarat Lions,Feroz Shah Kotla,Gujarat Lions,0,71,0,2016,1
23,5,174,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,0,60,0,2016,0
24,3,195,Rising Pune Supergiants,Maharashtra Cricket Association Stadium,Gujarat Lions,1,49,0,2016,0
